transaction_id,sale_date,customer_id,gender,age,category,quantity,price,payment_method
59,2024-08-13,5525,Female,51,Clothing,6,232.85,Debit Card
60,2024-06-21,1665,Male,39,Books,9,489.36,Cash
61,2024-08-01,7207,Other,66,Electronics,7,118.0,Gift Card
62,2025-01-10,1183,Male,48,Groceries,7,39.78,Debit Card
63,2024-05-18,5802,Male,47,Home Decor,7,414.9,Cash
64,2025-03-27,9907,Male,51,Groceries,8,379.1,Debit Card
65,2025-01-14,7722,Male,57,Books,7,474.75,Gift Card
66,2024-08-10,5425,Male,53,Books,8,368.99,Debit Card
67,2024-10-15,4273,Female,29,Groceries,8,183.62,Credit Card
68,2025-04-19,5847,Female,27,Electronics,6,250.57,Gift Card
69,2025-04-18,1830,Female,35,Groceries,10,312.72,Cash
70,2024-08-04,1483,Female,63,Toys,5,499.02,Debit Card
71,2024-06-25,5940,Male,29,Clothing,4,184.77,Gift Card
72,2024-05-15,3841,Other,42,Groceries,2,164.46,Debit Card
73,2024-09-10,4342,Male,39,Toys,8,332.47,Online Payment
74,2025-03-21,6284,Other,68,Electronics,9,237.89,Debit Card
75,2025-01-31,9138,Female,46,Groceries,4,281.17,Debit Card
76,2025-03-09,7764,Male,41,Books,4,405.39,Gift Card
77,2024-09-15,5575,Other,56,Toys,4,127.16,Credit Card
78,2025-04-08,8831,Male,64,Toys,8,463.58,Online Payment
79,2024-11-04,2988,Other,53,Beauty,4,67.22,Cash
80,2025-02-28,6827,Female,32,Toys,6,162.43,Online Payment
81,2024-10-06,3472,Female,46,Home Decor,3,161.02,Cash
82,2024-05-17,4298,Male,63,Home Decor,7,48.72,Credit Card
83,2024-12-20,6843,Other,61,Clothing,2,431.37,Cash
84,2025-01-25,2086,Male,41,Toys,3,236.17,Debit Card
85,2025-04-10,6187,Male,52,Groceries,1,444.51,Gift Card
86,2024-08-19,7461,Male,70,Groceries,1,180.58,Online Payment
87,2024-07-30,1323,Male,50,Beauty,3,73.88,Online Payment
88,2025-02-09,8967,Male,52,Books,5,425.96,Gift Card
89,2024-07-16,8850,Other,50,Toys,5,405.18,Online Payment
90,2025-02-11,6070,Female,63,Toys,10,148.91,Credit Card
91,2024-10-14,6875,Other,45,Clothing,3,451.51,Debit Card
92,2024-12-04,6865,Female,36,Clothing,7,358.09,Online Payment
93,2024-12-13,6625,Other,60,Toys,9,331.18,Cash
94,2024-07-09,6556,Male,18,Electronics,6,106.7,Cash
95,2024-11-27,6361,Female,65,Books,6,399.21,Debit Card
96,2024-10-10,3929,Other,46,Beauty,7,122.22,Debit Card
97,2024-05-29,6707,Other,44,Clothing,3,468.13,Online Payment
98,2024-08-04,5421,Other,34,Toys,3,26.48,Online Payment
99,2025-01-07,8702,Female,36,Electronics,4,64.89,Gift Card
100,2025-03-20,8142,Female,46,Groceries,3,429.66,Cash
101,2024-11-29,7546,Female,32,Electronics,5,491.26,Credit Card
102,2024-09-12,7250,Female,53,Beauty,7,471.8,Online Payment
103,2024-10-07,9137,Male,56,Groceries,2,356.96,Cash
104,2024-08-21,1394,Male,62,Beauty,5,396.66,Online Payment
105,2025-04-18,1030,Female,45,Home Decor,2,321.77,Credit Card
106,2024-07-27,3254,Male,48,Clothing,5,111.97,Debit Card
107,2024-11-09,8900,Male,69,Clothing,6,81.51,Credit Card
108,2025-04-21,8476,Female,40,Beauty,7,198.41,Cash
109,2024-12-14,3578,Female,39,Books,5,59.82,Cash
110,2024-12-24,8574,Female,28,Clothing,9,126.32,Cash
111,2025-03-24,7662,Other,57,Electronics,8,385.26,Online Payment
112,2024-07-24,8428,Male,43,Home Decor,3,345.08,Gift Card
113,2024-09-26,8687,Male,55,Home Decor,8,216.44,Debit Card
114,2024-07-23,2874,Other,41,Beauty,2,183.22,Online Payment
115,2024-11-28,5112,Female,20,Books,8,192.38,Online Payment
116,2024-12-20,8385,Female,32,Toys,4,234.01,Credit Card
117,2024-12-04,6633,Male,54,Electronics,9,108.33,Cash
118,2025-01-01,7450,Female,65,Clothing,6,225.34,Credit Card
119,2025-04-25,9503,Male,32,Toys,8,488.77,Debit Card
120,2024-09-11,7861,Male,47,Clothing,5,160.65,Credit Card
121,2024-07-30,9580,Female,49,Electronics,3,364.49,Gift Card
122,2024-10-20,4755,Female,60,Beauty,4,446.97,Gift Card
123,2024-08-18,2748,Female,63,Beauty,2,233.25,Gift Card
124,2024-12-14,5238,Other,33,Groceries,10,18.24,Cash
125,2024-09-06,9426,Male,63,Clothing,1,421.8,Gift Card
126,2024-09-16,2235,Male,41,Home Decor,6,203.72,Debit Card
127,2025-01-14,9202,Other,58,Groceries,6,291.21,Online Payment
128,2024-12-09,4140,Male,21,Electronics,3,228.94,Debit Card
129,2024-07-28,3752,Other,68,Beauty,3,349.71,Cash
130,2024-08-29,3226,Male,66,Groceries,1,351.43,Cash
131,2025-03-07,8045,Female,60,Clothing,10,294.93,Credit Card
132,2024-10-11,8631,Male,55,Home Decor,5,337.91,Debit Card
133,2024-11-09,7746,Female,59,Clothing,7,272.08,Online Payment
134,2024-11-04,7819,Male,64,Groceries,1,142.17,Cash
135,2024-07-12,5080,Male,56,Home Decor,7,79.49,Cash
136,2024-09-16,5147,Other,57,Beauty,3,16.77,Online Payment
137,2025-01-19,3023,Female,47,Groceries,4,475.9,Cash
138,2024-06-21,5354,Female,27,Books,7,421.22,Cash
139,2024-09-14,4096,Female,26,Books,10,55.27,Gift Card
140,2024-07-03,5736,Male,57,Home Decor,10,157.59,Cash
141,2024-09-16,4702,Male,34,Books,8,393.04,Debit Card
142,2024-12-03,8322,Male,19,Toys,2,478.18,Credit Card
143,2025-03-24,6622,Female,68,Books,9,330.99,Cash
144,2024-10-28,4151,Female,65,Clothing,5,227.75,Debit Card
145,2024-07-14,4819,Female,51,Electronics,9,428.07,Gift Card
146,2024-08-17,3296,Male,42,Electronics,8,175.69,Credit Card
147,2024-07-31,3537,Other,41,Groceries,6,273.25,Debit Card
148,2024-09-24,3736,Other,27,Books,7,184.97,Online Payment
149,2024-08-11,7185,Male,47,Home Decor,4,327.92,Online Payment
150,2024-10-07,4284,Other,67,Beauty,4,199.82,Gift Card
151,2024-05-09,7308,Female,22,Electronics,8,327.84,Debit Card
152,2025-01-14,2236,Male,63,Toys,3,31.63,Credit Card
153,2025-01-09,3851,Other,58,Beauty,4,207.88,Gift Card
154,2024-08-16,3422,Other,42,Beauty,9,85.31,Credit Card
155,2025-05-02,7485,Female,22,Books,2,347.61,Cash
156,2025-02-14,8352,Other,46,Electronics,6,118.02,Credit Card
157,2025-02-04,5513,Female,19,Toys,6,422.82,Debit Card
158,2025-01-29,9336,Other,70,Toys,4,152.91,Debit Card
159,2024-07-03,5265,Male,51,Toys,7,205.83,Gift Card
160,2024-12-26,5941,Other,66,Beauty,9,57.1,Debit Card
161,2025-04-07,2698,Male,44,Books,3,116.14,Gift Card
162,2024-06-02,4345,Female,62,Electronics,2,194.89,Debit Card
163,2024-07-14,6511,Other,39,Electronics,2,488.73,Credit Card
164,2024-08-30,2312,Male,55,Clothing,7,245.82,Online Payment
165,2024-06-30,9315,Female,45,Electronics,9,302.27,Gift Card
166,2024-06-03,2319,Other,45,Beauty,6,415.38,Online Payment
167,2025-02-14,2142,Other,22,Toys,10,42.64,Debit Card
168,2024-10-21,5982,Other,52,Clothing,8,375.03,Debit Card
169,2024-11-17,7587,Male,57,Toys,6,178.5,Credit Card
170,2024-08-15,9696,Other,34,Toys,6,77.96,Online Payment
171,2024-09-15,7410,Female,50,Toys,3,399.76,Online Payment
172,2024-09-18,4096,Other,52,Clothing,8,111.48,Online Payment
173,2025-01-04,4563,Female,69,Groceries,2,133.34,Debit Card
174,2024-07-16,5382,Other,44,Beauty,6,233.19,Cash
175,2024-10-05,9554,Other,45,Electronics,2,455.73,Gift Card
176,2024-11-03,4730,Other,49,Electronics,10,449.8,Debit Card
177,2024-07-17,2251,Male,55,Clothing,8,61.29,Cash
178,2024-09-24,4406,Other,39,Electronics,7,174.64,Credit Card
179,2024-09-07,6044,Other,22,Groceries,9,168.81,Online Payment
180,2024-05-28,6902,Female,43,Clothing,2,364.71,Gift Card
181,2024-05-25,9464,Other,26,Groceries,8,316.19,Cash
182,2025-02-01,1264,Female,40,Beauty,2,244.29,Online Payment
183,2025-04-01,2117,Other,47,Electronics,7,90.45,Credit Card
184,2024-06-18,4044,Other,35,Toys,8,173.84,Online Payment
185,2024-07-15,5274,Other,43,Groceries,6,394.57,Debit Card
186,2024-07-06,3261,Female,24,Beauty,3,141.09,Gift Card
187,2024-12-29,9512,Female,67,Electronics,2,356.42,Debit Card
188,2024-09-06,2599,Other,63,Toys,6,216.18,Online Payment
189,2025-03-02,9966,Female,52,Home Decor,4,13.07,Cash
190,2025-02-07,8980,Other,55,Beauty,8,445.24,Credit Card
191,2024-11-20,6539,Other,25,Home Decor,5,32.74,Cash
192,2025-02-20,8323,Female,19,Toys,4,234.74,Cash
193,2024-05-29,5892,Other,25,Books,10,341.27,Credit Card
194,2025-01-25,1994,Other,43,Beauty,8,8.24,Credit Card
195,2025-01-15,4038,Other,35,Groceries,2,209.35,Online Payment
196,2024-12-07,7932,Other,33,Toys,6,221.61,Debit Card
197,2024-11-18,1075,Other,64,Groceries,8,456.09,Gift Card
198,2024-05-21,7909,Other,67,Books,9,314.83,Credit Card
199,2025-05-05,7424,Male,29,Books,8,87.01,Online Payment
200,2024-11-04,8344,Male,47,Beauty,9,312.56,Credit Card
201,2024-05-30,4706,Other,52,Home Decor,6,378.9,Debit Card
202,2025-01-14,9260,Male,25,Books,4,241.44,Cash
203,2024-08-11,8278,Male,39,Groceries,5,251.01,Online Payment
204,2024-11-12,4908,Male,63,Toys,8,302.91,Cash
205,2024-09-05,2733,Other,45,Home Decor,2,259.04,Debit Card
206,2024-11-29,8252,Male,25,Groceries,2,319.29,Online Payment
207,2025-04-03,9865,Other,32,Books,6,89.71,Cash
208,2024-07-16,7469,Other,26,Books,8,189.17,Online Payment
209,2025-05-01,4125,Female,57,Toys,4,197.31,Credit Card
210,2025-02-25,8775,Female,18,Toys,9,340.38,Online Payment
211,2024-06-23,8938,Male,24,Electronics,2,91.25,Cash
212,2025-01-18,6808,Other,67,Books,5,377.67,Gift Card
213,2025-03-19,8952,Male,29,Home Decor,4,193.32,Online Payment
214,2024-11-10,7590,Male,56,Electronics,4,347.84,Online Payment
215,2024-07-04,5396,Other,67,Toys,8,93.31,Credit Card
216,2024-11-10,1415,Female,66,Home Decor,2,257.79,Gift Card
217,2024-05-30,8781,Female,47,Toys,4,422.81,Credit Card
218,2024-10-24,6150,Male,31,Home Decor,6,180.46,Debit Card
219,2025-03-24,7097,Female,58,Clothing,9,94.02,Cash
220,2024-07-05,4113,Male,31,Toys,8,357.55,Online Payment
221,2025-01-08,1841,Other,18,Beauty,3,40.14,Gift Card
222,2024-11-01,5034,Male,50,Toys,1,146.1,Debit Card
223,2024-06-05,9219,Male,27,Home Decor,4,5.08,Credit Card
224,2024-07-06,2958,Male,47,Electronics,2,313.52,Cash
225,2025-04-14,6442,Male,62,Books,1,483.24,Credit Card
226,2024-08-01,2264,Male,58,Electronics,9,212.63,Online Payment
227,2024-06-28,1018,Male,66,Groceries,8,141.33,Cash
228,2024-08-09,8044,Other,69,Books,9,396.42,Credit Card
229,2024-10-31,8356,Female,61,Home Decor,9,415.12,Online Payment
230,2024-08-04,2971,Female,19,Books,3,94.66,Cash
231,2025-04-29,4372,Male,31,Beauty,7,246.66,Online Payment
232,2024-08-24,9018,Male,53,Electronics,9,230.13,Online Payment
233,2024-09-08,8119,Male,62,Groceries,3,60.04,Cash
234,2024-11-14,2559,Male,35,Beauty,7,458.08,Gift Card
235,2024-12-28,1864,Female,65,Toys,9,469.14,Debit Card
236,2024-09-26,6706,Other,46,Toys,3,181.26,Debit Card
237,2024-11-26,6218,Female,43,Books,3,199.85,Cash
238,2025-05-06,8747,Male,39,Groceries,10,437.2,Cash
239,2024-11-07,1578,Male,45,Home Decor,8,394.1,Cash
240,2024-06-30,4797,Male,51,Beauty,4,285.72,Credit Card
241,2024-09-16,2611,Male,61,Home Decor,5,290.22,Cash
242,2024-12-12,7057,Male,51,Toys,5,293.46,Online Payment
243,2025-05-02,6944,Female,19,Groceries,2,28.08,Credit Card
244,2024-10-16,4278,Other,48,Books,1,353.22,Debit Card
245,2024-11-14,2921,Female,53,Groceries,4,412.25,Cash
246,2025-01-01,6699,Male,27,Groceries,8,225.96,Debit Card
247,2024-06-15,5853,Male,31,Home Decor,5,391.15,Debit Card
248,2024-09-04,3769,Other,54,Toys,2,408.54,Gift Card
249,2025-01-12,6726,Male,66,Groceries,2,406.2,Online Payment
250,2025-02-19,2532,Female,43,Groceries,10,138.58,Online Payment
251,2024-10-02,4264,Male,39,Toys,1,57.0,Online Payment
252,2024-05-19,8281,Other,24,Beauty,3,444.16,Cash
253,2025-02-19,8340,Female,38,Books,1,127.96,Gift Card
254,2025-04-23,3321,Female,29,Home Decor,9,396.09,Gift Card
255,2024-07-22,2117,Female,47,Clothing,7,47.43,Cash
256,2025-01-22,2748,Other,56,Electronics,6,247.65,Online Payment
257,2025-04-01,5580,Male,52,Electronics,8,156.07,Credit Card
258,2024-09-04,3976,Other,28,Toys,3,242.85,Cash
259,2024-06-20,9337,Female,60,Toys,7,10.57,Debit Card
260,2024-12-27,1004,Female,32,Beauty,5,148.41,Gift Card
261,2025-01-23,8007,Other,54,Toys,5,399.28,Debit Card
262,2025-04-04,8192,Other,20,Books,6,137.83,Cash
263,2024-11-11,1385,Male,23,Electronics,7,221.25,Credit Card
264,2024-09-19,1482,Male,63,Beauty,6,377.19,Credit Card
265,2024-06-07,6762,Male,23,Toys,3,315.61,Credit Card
266,2024-05-11,7224,Other,18,Clothing,2,300.6,Online Payment
267,2024-05-28,4800,Female,27,Clothing,8,67.79,Cash
268,2025-02-07,4517,Female,63,Books,8,336.34,Cash
269,2024-12-04,5567,Female,67,Beauty,1,465.99,Credit Card
270,2025-02-14,9342,Female,69,Clothing,5,338.68,Online Payment
271,2024-05-21,7408,Other,28,Groceries,2,337.09,Credit Card
272,2025-02-05,4333,Male,31,Books,3,9.57,Cash
273,2024-09-28,3652,Other,25,Electronics,4,17.39,Gift Card
274,2024-12-31,6718,Female,36,Toys,4,290.2,Cash
275,2025-05-03,6671,Other,47,Home Decor,6,85.67,Online Payment
276,2024-05-13,5948,Female,68,Beauty,1,123.1,Gift Card
277,2025-04-22,2836,Other,25,Home Decor,3,443.62,Online Payment
278,2024-05-23,1159,Female,44,Electronics,2,428.1,Credit Card
279,2024-05-19,5327,Male,23,Books,4,218.48,Debit Card
280,2024-12-28,1972,Female,23,Groceries,10,285.84,Online Payment
281,2024-06-06,3893,Other,32,Beauty,4,36.35,Credit Card
282,2025-01-10,1997,Male,50,Beauty,4,425.04,Gift Card
283,2024-06-09,7140,Female,33,Electronics,1,180.78,Online Payment
284,2025-01-22,1584,Other,54,Home Decor,3,432.03,Online Payment
285,2024-05-10,1705,Other,51,Electronics,8,237.22,Online Payment
286,2025-03-21,8580,Female,50,Beauty,3,354.1,Cash
287,2024-05-21,9135,Male,31,Groceries,8,469.51,Debit Card
288,2024-10-27,3666,Other,36,Beauty,2,176.59,Credit Card
289,2024-12-02,7671,Male,28,Clothing,5,355.48,Debit Card
290,2024-09-27,3257,Female,57,Beauty,8,288.17,Cash
291,2025-01-09,1132,Female,43,Electronics,3,99.58,Debit Card
292,2025-01-12,8522,Male,68,Toys,6,230.41,Credit Card
293,2025-05-04,1790,Female,44,Books,9,323.13,Cash
294,2024-10-10,2161,Male,27,Books,9,320.52,Online Payment
295,2025-01-01,2719,Female,59,Clothing,4,296.11,Cash
296,2024-06-22,3888,Other,29,Clothing,10,222.86,Debit Card
297,2024-08-01,7795,Female,29,Groceries,7,155.3,Online Payment
298,2025-02-20,6390,Female,21,Home Decor,5,293.59,Credit Card
299,2025-04-14,7596,Other,64,Clothing,6,129.32,Gift Card
300,2024-06-10,4147,Female,31,Beauty,7,284.58,Gift Card
301,2024-07-20,9711,Other,18,Home Decor,5,284.39,Online Payment
302,2024-12-31,7637,Male,54,Clothing,8,95.14,Gift Card
303,2024-06-05,3800,Other,35,Beauty,9,35.54,Cash
304,2025-02-22,2348,Female,30,Clothing,6,455.6,Credit Card
305,2025-03-12,6256,Other,26,Groceries,2,391.96,Gift Card
306,2025-04-04,4249,Male,18,Toys,6,403.36,Debit Card
307,2024-12-17,1407,Male,43,Electronics,2,30.14,Debit Card
308,2024-09-09,7414,Other,36,Groceries,7,351.78,Cash
309,2024-08-25,3858,Other,65,Beauty,2,283.87,Cash
310,2024-07-09,2710,Female,22,Home Decor,9,17.39,Cash
311,2024-09-11,5785,Male,29,Books,5,142.06,Credit Card
312,2024-10-06,2708,Female,22,Books,10,200.89,Online Payment
313,2024-07-21,3590,Male,68,Electronics,4,225.48,Gift Card
314,2024-07-04,1967,Other,66,Home Decor,5,482.2,Online Payment
315,2025-05-06,4111,Other,56,Books,7,328.45,Gift Card
316,2024-10-31,5391,Other,65,Toys,2,230.42,Gift Card
317,2025-02-22,7741,Other,49,Toys,1,400.02,Debit Card
318,2024-11-26,9051,Female,59,Toys,10,287.57,Cash
319,2024-10-31,9599,Other,57,Beauty,7,452.48,Cash
320,2024-07-08,9598,Other,48,Beauty,9,307.26,Debit Card
321,2025-01-26,7139,Other,23,Electronics,2,214.1,Cash
322,2024-10-10,1245,Male,55,Electronics,1,341.6,Credit Card
323,2024-09-23,7279,Female,32,Clothing,7,289.34,Gift Card
324,2024-06-16,4451,Other,22,Books,2,335.0,Cash
325,2024-07-24,4740,Female,22,Toys,1,392.72,Credit Card
326,2024-06-05,6579,Female,57,Clothing,3,445.84,Debit Card
327,2025-02-23,1820,Male,66,Toys,5,40.0,Credit Card
328,2024-07-04,6606,Other,52,Toys,4,377.0,Online Payment
329,2025-03-13,1012,Other,38,Toys,10,255.53,Gift Card
330,2025-03-16,1347,Other,35,Toys,3,257.24,Online Payment
331,2024-12-02,7648,Female,66,Electronics,6,368.27,Gift Card
332,2024-08-11,9514,Male,62,Clothing,3,342.07,Online Payment
333,2024-09-21,2737,Male,20,Home Decor,9,284.99,Debit Card
334,2025-04-13,1914,Other,57,Electronics,5,345.32,Debit Card
335,2024-12-16,2172,Other,60,Electronics,2,222.07,Debit Card
336,2024-12-25,5409,Male,24,Home Decor,1,77.3,Cash
337,2024-08-26,2549,Male,21,Clothing,3,405.95,Credit Card
338,2024-07-01,9979,Male,21,Toys,6,453.66,Online Payment
339,2025-01-13,6925,Female,67,Books,9,180.96,Gift Card
340,2025-03-27,8177,Female,34,Beauty,5,402.74,Credit Card
341,2024-10-04,1964,Female,35,Groceries,5,160.35,Cash
342,2024-05-29,2306,Other,43,Toys,1,141.47,Online Payment
343,2025-03-25,9535,Other,55,Groceries,4,191.03,Cash
344,2025-04-19,9672,Other,25,Home Decor,6,407.7,Credit Card
345,2025-01-23,7873,Female,69,Books,9,77.14,Cash
346,2024-11-04,3739,Other,63,Electronics,5,478.78,Credit Card
347,2024-05-14,8176,Male,46,Home Decor,4,68.82,Credit Card
348,2024-08-12,2417,Male,43,Groceries,4,39.57,Credit Card
349,2024-12-16,8080,Other,48,Beauty,8,375.81,Gift Card
350,2024-10-03,4061,Other,70,Beauty,9,382.6,Credit Card
351,2024-09-05,1930,Other,27,Clothing,5,425.59,Credit Card
352,2024-07-10,7454,Female,59,Home Decor,6,320.0,Gift Card
353,2025-04-22,5275,Female,59,Clothing,10,329.38,Debit Card
354,2024-05-27,7965,Male,31,Electronics,9,123.32,Cash
355,2025-03-30,6450,Female,35,Electronics,4,331.34,Credit Card
356,2024-09-02,7921,Other,48,Books,10,6.26,Cash
357,2025-04-09,5744,Female,59,Clothing,6,340.17,Gift Card
358,2024-09-16,2059,Female,62,Books,7,163.3,Credit Card
359,2025-04-30,4678,Female,37,Home Decor,2,405.35,Gift Card
360,2025-03-14,3967,Male,56,Books,6,138.3,Gift Card
361,2025-03-03,6942,Other,50,Beauty,9,249.08,Credit Card
362,2024-09-04,3474,Female,67,Clothing,6,121.87,Cash
363,2025-03-13,6760,Female,66,Clothing,4,114.92,Gift Card
364,2024-07-13,7321,Female,21,Electronics,9,36.92,Online Payment
365,2024-09-24,7705,Other,20,Toys,3,265.74,Gift Card
366,2025-02-28,5354,Female,32,Home Decor,4,72.69,Gift Card
367,2024-09-14,1520,Female,59,Groceries,9,42.6,Debit Card
368,2024-10-09,6078,Male,32,Beauty,3,86.16,Cash
369,2024-05-31,9967,Other,44,Home Decor,8,405.94,Gift Card
370,2024-07-27,2419,Male,70,Books,8,299.67,Gift Card
371,2025-03-11,4065,Male,38,Home Decor,7,325.19,Gift Card
372,2024-09-13,7460,Female,19,Books,8,78.93,Online Payment
373,2024-09-22,3561,Female,52,Groceries,3,435.21,Debit Card
374,2024-08-14,4343,Female,53,Toys,2,275.81,Gift Card
375,2024-11-11,5621,Other,57,Books,10,307.37,Online Payment
376,2024-07-25,2841,Female,36,Clothing,4,249.44,Gift Card
377,2025-03-26,8955,Male,69,Electronics,4,495.64,Gift Card
378,2025-01-20,4730,Male,34,Groceries,4,346.1,Credit Card
379,2024-06-30,8943,Other,54,Clothing,1,17.85,Gift Card
380,2024-09-02,3373,Other,42,Beauty,6,46.43,Online Payment
381,2025-03-01,5331,Male,60,Groceries,9,37.74,Gift Card
382,2025-02-02,3367,Female,41,Toys,10,312.11,Gift Card
383,2025-01-08,5487,Female,29,Home Decor,3,6.45,Credit Card
384,2024-08-15,8460,Male,59,Beauty,1,297.64,Debit Card
385,2024-05-31,8712,Male,46,Groceries,1,339.37,Gift Card
386,2024-07-28,7155,Female,45,Toys,8,116.07,Gift Card
387,2024-11-25,3196,Male,24,Books,1,327.09,Credit Card
388,2025-04-17,3137,Male,24,Groceries,2,469.53,Credit Card
389,2025-04-10,9283,Female,31,Electronics,7,479.9,Debit Card
390,2024-07-16,8722,Other,23,Groceries,5,274.61,Credit Card
391,2024-07-24,6323,Female,56,Groceries,2,397.09,Debit Card
392,2025-04-14,8269,Male,64,Home Decor,10,359.13,Debit Card
393,2024-05-15,2353,Other,56,Beauty,2,273.77,Credit Card
394,2024-11-26,7767,Other,59,Beauty,5,89.28,Debit Card
395,2024-08-30,9705,Male,34,Home Decor,4,134.57,Credit Card
396,2024-12-15,3363,Female,67,Groceries,3,222.75,Credit Card
397,2024-09-09,1671,Other,59,Beauty,7,407.97,Debit Card
398,2024-08-06,5400,Female,51,Home Decor,5,363.33,Gift Card
399,2024-05-06,6669,Male,27,Home Decor,6,411.57,Credit Card
400,2024-10-12,8423,Other,34,Clothing,1,120.32,Online Payment
401,2024-06-25,7494,Male,38,Electronics,8,303.92,Credit Card
402,2024-05-18,8962,Female,18,Clothing,9,168.19,Cash
403,2025-01-30,4434,Other,36,Home Decor,5,129.92,Credit Card
404,2025-04-19,7635,Male,38,Home Decor,5,273.1,Credit Card
405,2025-03-23,3104,Female,40,Beauty,4,56.57,Credit Card
406,2024-08-21,1373,Male,64,Groceries,5,463.94,Gift Card
407,2024-07-03,7400,Female,53,Toys,1,207.24,Cash
408,2024-06-17,7390,Female,41,Clothing,9,414.28,Gift Card
409,2025-03-12,5133,Male,70,Home Decor,6,255.01,Online Payment
410,2024-12-03,8273,Female,42,Toys,4,376.39,Online Payment
411,2024-07-08,5497,Male,31,Beauty,2,83.55,Debit Card
412,2025-03-08,1334,Female,31,Clothing,8,387.33,Debit Card
413,2024-08-04,1027,Female,62,Clothing,10,121.19,Gift Card
414,2024-06-02,9102,Other,50,Clothing,5,135.78,Gift Card
415,2024-12-28,3911,Male,52,Groceries,4,226.41,Credit Card
416,2024-05-31,4783,Other,20,Toys,7,24.4,Debit Card
417,2024-11-20,2694,Other,60,Groceries,1,228.66,Gift Card
418,2024-12-10,1316,Male,33,Electronics,1,122.53,Online Payment
